C6	2017-02-23 16:59:27.053470
C6	2017-02-23 17:01:08.599686
C6	2017-02-23 17:04:03.015836
C6	2017-02-23 17:06:22.863607
C6	2017-02-23 17:07:21.831102
C6	2017-02-23 17:07:49.165548
C6	2017-02-23 17:23:41.257849
C6	2017-02-23 17:24:02.085937
C6	2017-02-23 17:25:36.086338
C6	2017-02-23 17:33:23.033142
C6	2017-02-24 16:04:42.789232
C14	2017-02-24 16:04:58.079577
CNR458	2017-02-24 16:09:57.725793
CNR458	2017-02-24 16:33:20.548921
CNR1457	2017-02-24 16:33:35.940266
C6	2017-02-24 16:39:46.270668
C14	2017-02-24 16:40:01.649626
C23	2017-02-24 16:40:16.940200
CNR458	2017-02-24 16:53:16.870069
CNR1457	2017-02-24 16:53:32.314875
CNR1594	2017-02-24 16:53:47.621614
CNR458	2017-02-24 17:09:52.827713
CNR1457	2017-02-24 17:10:08.268004
CNR1594	2017-02-24 17:10:23.697115
CNR1879	2017-02-24 17:10:39.035491
CNR458	2017-02-24 17:24:49.476349
CNR1457	2017-02-24 17:25:04.922586
CNR1594	2017-02-24 17:25:20.353124
CNR1879	2017-02-24 17:25:35.815187
CNR1883	2017-02-24 17:25:51.104369
CNR458	2017-02-27 12:12:28.127405
CNR752	2017-02-27 12:22:57.467382
CNR1457	2017-02-27 12:23:14.017017
CNR1594	2017-02-27 12:36:24.359076
CNR1879	2017-02-27 12:49:31.362814
CNR1883	2017-02-27 12:59:33.995041
CNR1884	2017-02-27 13:14:35.309884
COL0001	2017-02-27 13:26:38.342819
COL0002	2017-02-27 13:37:53.961384
CNR1880	2017-02-27 13:47:38.268965
CNR752	2017-02-27 17:31:32.221367
CNR752	2017-02-27 17:34:57.694108
CNR1869	2017-02-28 13:27:07.729746
CNR1869	2017-02-28 13:29:27.728244
CNR1869	2017-02-28 13:29:54.890276
CNR1869	2017-02-28 13:32:35.107916
CNR1869	2017-02-28 13:38:16.267611
CNR1869	2017-02-28 13:39:37.074188
CNR1869	2017-02-28 16:58:48.947504
CNR1879	2017-02-28 17:47:04.149203
CNR1869	2017-02-28 17:54:01.006493
CNR1879	2017-02-28 18:52:16.392464
CNR1868	2017-02-28 19:43:41.605520
CNR1885	2017-03-01 14:34:56.334133	fr
CNR1886	2017-03-01 15:08:31.935534	fr
CNR1887	2017-03-01 15:47:42.079592	fr
CNR1888	2017-03-01 16:15:57.484960	fr
CNR1889	2017-03-01 16:48:13.153124	fr
CNR1890	2017-03-01 17:14:44.656527	fr
CNR1891	2017-03-01 17:36:37.378273	fr
CNR1892	2017-03-01 17:54:03.260808	fr
C6	2017-03-02 11:42:23.684537	FR
C14	2017-03-02 12:09:57.526937	FR
C23	2017-03-02 12:39:56.510380	FR
C33	2017-03-02 13:04:42.786845	FR
C49	2017-03-02 13:32:51.883413	FR
C55	2017-03-02 13:55:31.957661	FR
C67	2017-03-02 14:16:00.598480	FR
C83	2017-03-02 14:48:13.293723	FR
C92	2017-03-02 15:17:59.163764	FR
C102	2017-03-02 15:31:00.058828	FR
C104	2017-03-02 15:46:23.516791	FR
C105	2017-03-02 16:01:04.783623	FR
C107	2017-03-02 16:22:05.177553	FR
C109	2017-03-02 16:37:15.092078	FR
C131	2017-03-02 16:53:16.236816	FR
C132	2017-03-02 17:12:02.810017	FR
C138	2017-03-02 17:44:39.455459	FR
C159	2017-03-02 18:22:43.959594	FR
C178	2017-03-02 18:49:40.980653	FR
C183	2017-03-02 19:18:01.717986	FR
C200	2017-03-02 19:48:47.971168	FR
C203	2017-03-02 20:14:37.627080	FR
C223	2017-03-02 20:45:24.618827	FR
C246	2017-03-02 21:13:55.488895	FR
C16	2017-03-02 21:43:37.450472	FR
C20	2017-03-02 22:01:39.360571	FR
C68	2017-03-02 22:17:22.355852	FR
C112	2017-03-02 22:27:42.491006	FR
CNR1894	2017-03-08 14:37:45.949919	FR
CNR1895	2017-03-08 14:59:25.951529	FR
CNR1897	2017-03-08 15:27:18.571257	FR
CNR1898	2017-03-08 15:34:23.187120	FR
CNR1899	2017-03-08 15:58:29.550127	FR
CNR1900	2017-03-08 16:18:39.332864	FR
CNR1901	2017-03-08 16:38:30.985078	FR
CNR1902	2017-03-08 16:55:50.802699	FR
CNR1904	2017-03-08 17:22:36.003979	FR
CNR1893	2017-03-16 11:51:15.447093	FR-h
CNR1893	2017-03-16 11:51:51.125070	FR
CNR1903	2017-03-16 12:13:29.754155	FR
CNR1905	2017-03-16 12:34:49.380593	FR
CNR1906	2017-03-16 12:58:38.240465	FR
CNR1907	2017-03-16 13:23:01.375828	FR
CNR1908	2017-03-16 13:44:27.255979	FR
CNR1909	2017-03-16 14:01:52.538530	FR
CNR1910	2017-03-16 14:17:53.279788	FR
CNR1918	2017-03-16 14:36:12.652927	FR
CNR1919	2017-03-16 14:56:53.641489	FR
CNR1911	2017-03-22 14:34:45.599107	FR
CNR1912	2017-03-22 15:01:05.254484	FR
CNR1913	2017-03-22 15:24:29.990180	FR
CNR1914	2017-03-22 15:54:43.070633	FR
CNR1915	2017-03-22 16:17:34.369310	FR
CNR1916	2017-03-22 16:39:12.355591	FR
CNR1917	2017-03-22 17:02:47.027633	FR
CNR1911	2017-03-22 17:11:50.416307	FR
CNR1922	2017-03-22 17:21:40.738162	FR
CNR1923	2017-03-22 17:36:00.292492	FR
8F1	2017-03-24 17:00:46.691689	FR
CNR1925	2017-03-29 15:06:19.751657	FR
CNR1925	2017-03-29 16:15:40.043010	FR
CNR1926	2017-03-29 18:37:03.044123	FR
CNR1928	2017-03-29 20:33:43.016241	FR
CNR1929	2017-03-29 22:27:21.998754	FR
CNR1930	2017-03-30 00:09:03.238993	FR
CNR1931	2017-03-30 02:27:17.435662	FR
COL0007	2017-03-30 04:18:13.496375	FR
COL0011	2017-03-30 06:21:36.822292	FR
COL0017	2017-03-30 07:57:23.193270	FR
CNR1925	2017-03-30 08:45:15.893934	FR
CNR1926	2017-03-30 09:09:23.607178	FR
CNR1928	2017-03-30 09:29:32.651424	FR
CNR1929	2017-03-30 09:52:19.944717	FR
CNR1930	2017-03-30 10:12:19.759170	FR
CNR1931	2017-03-30 10:36:39.869328	FR
COL0007	2017-03-30 10:58:07.066751	FR
COL0011	2017-03-30 11:19:28.650163	FR
COL0017	2017-03-30 11:36:47.213068	FR
CNR1932	2017-04-12 16:18:11.807028	FR
CNR1933	2017-04-12 16:39:50.227265	FR
CNR1934	2017-04-12 16:57:18.910605	FR
CNR1935	2017-04-12 17:15:37.477949	FR
CNR1936	2017-04-12 17:31:30.328728	FR
CNR1937	2017-04-12 17:49:23.937389	FR
CNR1938	2017-04-12 18:08:19.767880	FR
CNR1939	2017-04-12 18:23:59.912142	FR
CNR1940	2017-04-12 18:39:00.109970	FR
CNR1941	2017-04-12 18:58:00.884234	FR
CNR1942	2017-04-12 19:12:50.467499	FR
CNR1943	2017-04-12 19:27:56.247967	FR
CNR1945	2017-04-14 17:03:04.222106	FR
CNR1946	2017-04-14 17:17:28.156774	FR
CNR1947	2017-04-14 17:30:08.143179	FR
CNR1948	2017-04-14 17:46:57.336994	FR
CNR1950	2017-04-14 18:05:11.830830	FR
CNR1951	2017-04-14 18:23:11.032287	FR
CNR1952	2017-04-14 18:41:57.780106	FR
CNR1953	2017-04-14 18:56:34.197326	FR
CNR1954	2017-04-14 19:11:59.096409	FR
CNR1956	2017-04-14 19:31:48.410026	FR
CNR1957	2017-04-14 19:49:39.418383	FR
CNR1955	2017-04-19 16:43:26.637807	FR
CNR1963	2017-04-19 17:10:22.389639	FR
CNR1964	2017-04-19 17:40:19.874048	FR
CNR1966	2017-04-19 18:06:53.328107	FR
CNR1967	2017-04-19 18:27:36.584349	FR
CNR1968	2017-04-19 18:44:04.719475	FR
CNR1969	2017-04-19 19:04:29.792423	FR
CNR1971	2017-04-19 19:33:20.296295	FR
CNR1972	2017-04-26 12:20:17.406692	FR
CNR1974	2017-04-26 12:58:34.173173	FR
CNR1975	2017-04-26 13:21:17.755795	FR
NC113	2017-04-26 13:42:31.847404	FR
NC114	2017-04-26 14:05:12.736227	FR
NC115	2017-04-26 14:29:33.815197	FR
NC116	2017-04-26 14:46:50.096020	FR
NC117	2017-04-26 15:15:15.663578	FR
PAP88	2017-04-26 15:35:36.541960	FR
CNR1976	2017-05-04 12:07:29.549374	FR
CNR1977	2017-05-04 12:20:43.554918	FR
CNR1978	2017-05-04 12:43:12.047921	FR
CNR1979	2017-05-04 13:01:07.022480	FR
CNR1984	2017-05-04 13:16:52.401705	FR
COL0023	2017-05-04 13:36:03.949846	FR
COL0027	2017-05-04 13:52:52.927195	FR
CNR1986	2017-05-18 11:44:06.244217	FR
CNR1987	2017-05-18 12:01:15.974094	FR
CNR1988	2017-05-18 12:27:55.481350	FR
CNR1989	2017-05-18 12:51:41.558367	FR
CNR1990	2017-05-18 13:12:43.451197	FR
CNR1991	2017-05-18 13:43:08.201722	FR
CNR1992	2017-05-18 13:59:24.859375	FR
CNR1993	2017-05-18 14:15:55.171984	FR
COL0043	2017-05-18 14:44:12.378493	FR
CNR1985	2017-05-24 15:02:53.366342	FR
CNR1994	2017-05-24 15:23:31.485078	FR
CNR1996	2017-05-24 15:41:00.664817	FR
CNR1997	2017-05-24 16:00:32.693618	FR
CNR1998	2017-05-24 16:15:19.809494	FR
CNR1999	2017-05-24 16:32:11.574727	FR
CNR2012	2017-05-24 16:49:48.669115	FR
CNR2013	2017-05-24 17:06:06.163510	FR
CNR2000	2017-05-24 17:20:03.159592	FR
CNR2001	2017-05-24 17:36:43.759458	FR
CNR2002	2017-05-24 17:53:34.659724	FR
CNR2016	2017-05-24 18:14:02.957077	FR
s4411	2017-05-28 14:15:31.263311	RBO
CNR2003	2017-05-31 15:53:59.411113	FR
CNR2003	2017-05-31 16:06:08.834029	FR
CNR2003	2017-05-31 16:08:24.367568	FR
CNR2004	2017-05-31 16:26:45.812631	FR
CNR2005	2017-05-31 16:41:45.681047	FR
CNR2006	2017-05-31 16:56:11.393520	FR
CNR2007	2017-05-31 17:08:59.201121	FR
CNR2008	2017-05-31 17:28:12.899333	FR
CNR2009	2017-05-31 17:35:03.720113	FR
CNR2010	2017-05-31 17:51:26.829004	FR
CNR2020	2017-05-31 18:03:38.705220	FR
CNR2024	2017-05-31 18:23:42.165445	FR
CNR2025	2017-05-31 18:41:26.172201	FR
CNR2026	2017-05-31 19:03:19.095140	FR
CNR1351	2017-06-07 14:40:52.725638	FR
CNR841	2017-06-07 14:56:09.449954	FR
MHN62	2017-06-07 15:08:05.759492	FR
MHN63	2017-06-07 15:30:34.256033	FR
MHN64	2017-06-07 15:44:17.020506	FR
MHN65	2017-06-07 16:04:29.357625	FR
MHN89	2017-06-07 16:14:36.138840	FR
MHN90	2017-06-07 16:29:09.367751	FR
MHN122	2017-06-07 16:42:22.740782	FR
CNR2027	2017-06-07 16:58:03.537161	FR
CNR2028	2017-06-07 17:13:38.204549	FR
CNR2029	2017-06-07 17:28:09.949087	FR
CNR2030	2017-06-14 14:39:54.233098	FR
CNR2031	2017-06-14 14:58:02.364396	FR
CNR2032	2017-06-14 15:14:02.957043	FR
CNR2034	2017-06-14 15:33:36.657049	FR
CNR2036	2017-06-14 15:46:04.077387	FR
CNR2037	2017-06-14 16:06:01.285271	FR
CNR2038	2017-06-14 16:21:36.588537	FR
CNR2039	2017-06-14 16:36:59.300581	FR
CNR2040	2017-06-14 16:47:41.697424	FR
CNR2043	2017-06-14 17:03:14.462981	FR
CNR2044	2017-06-14 17:17:52.595851	FR
CNR2045	2017-06-14 17:36:15.942975	FR
CNR2041	2017-06-21 16:00:20.344149	FR
CNR2046	2017-06-21 16:17:28.921603	FR
CNR2047	2017-06-21 16:34:19.170636	FR
CNR2048	2017-06-21 16:50:30.633567	FR
CNR2049	2017-06-21 17:07:32.787295	FR
CNR2051	2017-06-21 17:23:23.409474	FR
CNR2052	2017-06-21 17:38:29.799050	FR
CNR1850	2017-06-21 17:54:43.076433	FR
CNR1851	2017-06-21 18:06:09.329921	FR
Lactobacillus	2017-06-21 18:19:40.359043	FR
C230	2017-06-23 17:06:37.751372	FR
CNR1755	2017-06-28 16:25:06.396734	FR
CNR1756	2017-06-28 16:45:26.964485	FR
CNR1757	2017-06-28 17:03:26.454558	FR
CNR1758	2017-06-28 17:18:32.026170	FR
CNR1759	2017-06-28 17:36:46.267908	FR
CNR1846	2017-06-28 17:51:29.987716	FR
CNR1847	2017-06-28 18:02:02.918717	FR
CNR1848	2017-06-28 18:19:21.526438	FR
CNR1849	2017-06-28 18:41:49.743282	FR
CNR2042	2017-06-28 18:56:31.024760	FR
CNR2053	2017-06-28 19:11:19.009371	FR
CNR2055	2017-06-28 19:33:11.253304	FR
CNR2060	2017-07-05 13:52:12.435057	FR
CNR2058	2017-07-05 14:04:54.999670	FR
CNR2061	2017-07-05 14:20:34.216063	FR
CNR2062	2017-07-05 14:40:02.382215	FR
CNR2063	2017-07-05 14:55:56.669425	FR
COL0052	2017-07-05 15:12:28.843754	FR
COL0054	2017-07-05 15:28:36.385324	FR
COL0055	2017-07-05 15:44:11.245870	FR
COL0080	2017-07-05 16:04:30.577366	FR
COL0091	2017-07-05 16:19:22.068009	FR
MHN81	2017-07-05 16:32:40.406007	FR
MHN92	2017-07-05 16:46:11.171825	FR
COL0016	2017-07-10 16:56:25.925703	FR
CNR2071	2017-07-12 15:26:49.867238	FR
CNR2070	2017-07-12 15:47:22.878849	FR
CNR2068	2017-07-12 16:05:55.911545	FR
CNR2064	2017-07-12 16:27:26.359731	FR
CNR2072	2017-07-12 16:49:17.747284	FR
CNR2073	2017-07-12 17:11:04.406314	FR
CNR2074	2017-07-12 17:29:31.930360	FR
CNR2076	2017-07-12 17:49:24.507427	FR
CNR2077	2017-07-12 18:06:42.533654	FR
COL0110	2017-07-12 18:19:38.600883	FR
MHN123	2017-07-12 18:38:42.489780	FR
CNR2075	2017-07-19 12:15:04.690722	FR
CNR2083	2017-07-19 12:41:51.659729	FR
CNR2085	2017-07-19 13:16:55.284490	FR
CNR2087	2017-07-19 13:36:22.179602	FR
CNR2088	2017-07-19 13:52:26.623972	FR
CNR2082	2017-07-19 14:11:47.780709	FR
