KST	wzi
K1	128
K1	1
K10	100
K10	79
K10	10
K11	106
K11	11
K12K29	12
K13	13
K14	17
K14	14
K14	92
K14	91
K14\K64	64
K15K17K50K51K52	50
K16	16
K17	137
K18	18
K19	19
K19	142
K19?AT?	112
K2	125
K2	72
K2	2
K2	4
K2	103
K2	126
K20	95
K20	20
K21	21
K22.37	120
K22\37	61
K22\37	22
K22\37	37
K22\37	107
K23	83
K23	82
K23K14	23
K24	101
K24	24
K25	119
K25	111
K25	25
K25	133
K26	113
K27	51
K27	27
K27	26
K28	28
K28	84
K3	59
K3	135
K3	40
K3	131
K3	3
K3	132
K30	30
K30	134
K30	85
K30	138
K30	114
K31	99
K31	102
K31	32
K31	31
K32	144
K34	34
K35	15
K35	98
K35	145
K35	35
K35	136
K36	36
K37	90
K38	38
K38	96
K39	39
K4	127
K4	129
K41	124
K41	29
K42	42
K43	121
K43	43
K44	146
K45	45
K46\K61	46
K47	105
K47	47
K47	74
K48	48
K49	49
K5	5
K52	52
K53	53
K54	115
K54	54
K54	66
K55	55
K55	140
K56	56
K57	77
K57	57
K58	76
K58	58
K6	6
K6	78
K60	60
K60	93
K62	62
K62?AT?	149
K63	63
K7	7
K71	71
K72	148
K79	147
K8	8
K80	80
K80	108
K81	81
K9	9
KP2008	69
NT	118
NT	44
NT	65
NT	68
NT	86
NT	70
NT	104
NT	67
NT	123
NT	141
NT	117
NT	110
NT	87
