"Protein Accession","DNA Accession","ARO Name","ARO Accession"
YP_007878372.1,NC_021076.1,"23S rRNA with mutation conferring antibiotic resistance",ARO:3000336
ADH03009.1,HM036080,AAC(1),ARO:3000317
AAA03550.1,L06156,AAC(2')-Ia,ARO:3002523
AAC44793.1,U41471,AAC(2')-Ib,ARO:3002524
CCP42991.1,AL123456,AAC(2')-Ic,ARO:3002525
AAB41701.1,U72743,AAC(2')-Id,ARO:3002526
AAG15269.1,U12338,AAC(3)-Ia,ARO:3002528
AAA88422.1,L06157,AAC(3)-Ib,ARO:3002530
AAL82588.1,AF355189,AAC(3)-Ib/AAC(6')-Ib'',ARO:3002600
CAD53575.1,AJ511268,AAC(3)-Ic,ARO:3002531
AAR21614.1,AY458224,AAC(3)-Id,ARO:3002529
CAA31895.1,X13543,AAC(3)-IIa,ARO:3002533
AAA26548.1,M97172,AAC(3)-IIb,ARO:3002534
CAA38525.1,X54723,AAC(3)-IIc,ARO:3002535
CAA39184.1,X55652,AAC(3)-IIIa,ARO:3002536
AAA25682.1,L06160,AAC(3)-IIIb,ARO:3002537
AAA25683.1,L06161,AAC(3)-IIIc,ARO:3002538
ABB43029.1,DQ241380.1,AAC(3)-IV,ARO:3002539
AAA25334.1,M55427,AAC(3)-IXa,ARO:3002543
AAA16194.1,M88012,AAC(3)-VIa,ARO:3002540
AAA88552.1,M22999,AAC(3)-VIIa,ARO:3002541
AAA26685.1,M55426,AAC(3)-VIIIa,ARO:3002542
BAA78619.1,AB028210,AAC(3)-Xa,ARO:3002544
AAK26252.2,AF263519,AAC(6')-29a,ARO:3002583
ACI31326.1,EU118148,AAC(6')-29b,ARO:3002584
CAE48335.2,AJ584652,"AAC(6')-30/AAC(6')-Ib' fusion protein",ARO:3002599
CAK55563.1,AM283490,AAC(6')-31,ARO:3002585
CAK55557.1,AM283489,AAC(6')-31,ARO:3002585
ABR10839.1,EF614235,AAC(6')-32,ARO:3002586
AEZ05106.1,JN596280,AAC(6')-33,ARO:3002587
AAP43642.1,AY289608,AAC(6')-I30,ARO:3002588
AAA98298.1,M18967,AAC(6')-Ia,ARO:3002545
NP_460578.1,NC_003197,AAC(6')-Iaa,ARO:3002571
BAD12078.1,AB119105,AAC(6')-Iad,ARO:3002572
BAD14386.1,AB104852,AAC(6')-Iae,ARO:3002573
BAH66386.1,AB462903,AAC(6')-Iaf,ARO:3002574
ACI28880.1,EU886977,AAC(6')-Iai,ARO:3002575
BAM46120.1,AB709942,AAC(6')-Iaj,ARO:3003677
BAO21229.1,AB894482,AAC(6')-Iak,ARO:3003199
AFJ11384.1,JQ808129,AAC(6')-Ib,ARO:3002546
AAX54878.1,AY954726,AAC(6')-Ib,ARO:3002546
ACL36604.1,EU259884,AAC(6')-Ib,ARO:3002546
AAA26550.1,M23634,AAC(6')-Ib,ARO:3002546
AAT74613.1,AY660529.1,AAC(6')-Ib',ARO:3003676
AAC46343.1,U59183,AAC(6')-Ib10,ARO:3002581
AAN41403.1,AY136758,AAC(6')-Ib11,ARO:3002582
ACS44715.1,FJ854362,AAC(6')-Ib3,ARO:3002576
AAL38577.1,AF445082,AAC(6')-Ib4,ARO:3002577
AKN19287.1,Y11946.1,AAC(6')-Ib7,ARO:3002578
YP_009062819.1,NC_025003.1,AAC(6')-Ib8,ARO:3002579
AAD02244.1,AF043381,AAC(6')-Ib9,ARO:3002580
